Req_no		Arr_time   Process_start   Process_end   waiting_time   service_time
063     14.879176990     18.935190831     19.756882909     4.056013841     0.821692078
064     15.278421160     19.756882909     21.794006152     4.478461749     2.037123243
065     15.499359430     20.330720549     24.526122154     4.831361119     4.195401605
066     15.766240570     20.448632114     21.167566415     4.682391544     0.718934301
068     15.990501050     21.039226086     28.726335708     5.048725036     7.687109622
069     16.119282550     21.167566415     30.119832795     5.048283865     8.952266380
071     16.775481200     21.787233082     29.854005488     5.011751882     8.066772406
072     16.962037280     21.794006152     24.108343780     4.831968872     2.314337628
077     18.130919580     22.032766710     23.895169455     3.901847130     1.862402745
079     18.652101830     22.394598031     27.618649423     3.742496201     5.224051392
081     19.203082630     22.545220095     24.197383010     3.342137465     1.652162915
086     20.079164350     23.895169455     29.103123548     3.816005105     5.207954093
087     20.414551650     24.071233253     27.596212595     3.656681603     3.524979342
088     20.694072870     24.108343780     29.180278888     3.414270910     5.071935108
091     21.212062310     24.197383010     25.218970335     2.985320700     1.021587325
092     21.570491970     24.526122154     27.241587007     2.955630184     2.715464853
095     22.015559350     25.218970335     28.796185359     3.203410985     3.577215024
096     22.170131120     25.498146006     30.985588213     3.328014886     5.487442207
097     22.373638450     27.241587007     32.097729125     4.867948557     4.856142118
098     22.720098690     27.596212595     29.762967765     4.876113905     2.166755170
099     22.768490170     27.618649423     28.092736109     4.850159253     0.474086686
103     24.040110950     28.092736109     28.211091177     4.052625159     0.118355068
104     24.107663820     28.211091177     28.785356722     4.103427357     0.574265545
105     24.294510050     28.726335708     30.249813608     4.431825658     1.523477900
106     24.589453250     28.785356722     30.592868112     4.195903472     1.807511390
107     24.639968470     28.796185359     31.380436245     4.156216889     2.584250886
111     25.259335570     29.103123548     30.763205804     3.843787978     1.660082256
112     25.515662190     29.180278888     29.468653762     3.664616698     0.288374874
